iter	Passed	Remaining
0	1	149
1	3	149
2	5	182
3	7	188
4	9	173
5	10	170
6	12	172
7	13	158
8	14	148
9	15	138
10	16	134
11	17	131
12	18	125
13	20	125
14	21	121
15	22	118
16	24	118
17	25	117
18	26	114
19	27	111
20	28	107
21	29	106
22	30	103
23	32	101
24	32	98
25	34	97
26	35	95
27	36	94
28	37	92
29	38	90
30	39	88
31	40	86
32	41	84
33	42	82
34	43	80
35	44	78
36	45	77
37	46	75
38	47	73
39	48	72
40	49	70
41	49	68
42	50	66
43	51	64
44	51	63
45	52	61
46	53	60
47	54	58
48	54	57
49	55	55
50	56	54
51	57	53
52	58	51
53	59	50
54	59	49
55	60	47
56	61	46
57	62	45
58	63	44
59	64	42
60	65	41
61	66	40
62	66	39
63	68	38
64	68	36
65	69	35
66	70	34
67	71	33
68	72	32
69	72	31
70	73	30
71	74	29
72	75	27
73	76	26
74	76	25
75	77	24
76	78	23
77	79	22
78	80	21
79	80	20
80	81	19
81	82	18
82	83	17
83	84	16
84	85	15
85	85	13
86	86	12
87	87	11
88	88	10
89	89	9
90	89	8
91	90	7
92	91	6
93	92	5
94	93	4
95	94	3
96	94	2
97	95	1
98	96	0
99	97	0
